ID,YN1,YN2,YN3,AN1,AN2,AN3,SN2.1,SN2.2,SN2.3,YR1,YR2,YR3,AR1,AR2,AR3,SR1,SR2,SR3,YCK1,YCK2,YCK3,ACK1,ACK2,ACK3,SCK2.1,SCK2.2,SCK2.3,
Mucilaginibacter,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0.00E+00,0,0,0,0,0,0.000168833,0,0,0,
Mucispirillum,0,0,0,0,0,0,0,0,0,0,0,0,0.000564493,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005593649,
Muribaculum,0,0,0.00E+00,0,0,0,0.002719115,0.000388149,0,0,0,0,0.00E+00,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0.00018044,
Mycetocola,0,0,0,0,0,0,0,0.00E+00,0,0.00E+00,0,0,0,0,0,0,0,0,0.000321027,0,0.000866658,0,0,0.001097417,0,0,0,
Mycobacterium,0.000373808,0.001006479,0.000687758,0,0.000257915,0.000590435,0,0,0.000190585,0.00708235,0.003277036,0.005354411,0.00635055,0.011363636,0.007069255,0.004731076,0.006157635,0.005825908,0.007704655,0.003100295,0.000866658,0.001545595,0.023563013,0.001013,0.000319974,0.000623775,0,
Nakamurella,0,0,0,0,0.000128957,0,0.00E+00,0,0.00E+00,0.001805305,0.000378119,0.001147374,0.001834603,0.002445339,0.001797268,0.001992032,0.000273673,0,0.001444623,0.000930088,0,1.29E-03,0.002142092,0.000168833,0.00087993,0.000712885,0.000541321,
Nannocystis,0,0.00025162,0,0,0,0,0,0.00E+00,0,0.00013887,0,0.000764916,0.000564493,0,0.000838725,0,0.000273673,0,0,0,0,0,0,0.00025325,0,0,0,
Natranaerovirga,0,0,0,0,0,0,0,0,0,0.000277739,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,
Negativibacillus,0,0,0,0,0,0,0,0.00045284,0.000317642,0,0,0,0,0,3.59E-04,0,0,0.000114233,0,0,0,0,0,0,0,0,9.02201E-05,
Neisseria,0,0,0,0,0,0.000262416,0,0,0,0,0,0,0,0,0,0,0,4.57E-04,0,0,0,0,0,0,0,0,0,
Neo-b11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000481541,0.000310029,0.003466634,0,0,0.00126625,0,0,0.001443522,
Neochlamydia,0,0,0,0,0,0,0,0,0,0,0,0.000382458,0,0.00043153,0,0,0,0,0,0,0,0,0,0,0,0,0,
Neptuniibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001941969,0,0,0,0,0,0,0,0,0,
Nesterenkonia,0,0.00E+00,0,0,0,0,0,0,0,0.00013887,0,0,0,0,0,0,0,0,0,0.000310029,0.000371425,0,0,0,0,0,0,
Nevskia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000239636,0,0,0,0,0,0,0.000257599,0,0,0,0.000267332,0,
Niastella,0.000498411,0,0.00018757,0,0.000128957,0,0,0,0,0.00361061,0.000882279,0.003059663,0.002822467,0.007336018,0.001317997,0.001494024,0.002736727,0.001256568,0.000481541,0.00263525,0,0.002318393,0.000892538,0.00025325,0,8.91107E-05,0,
Nibribacter,0,0.00E+00,0,0,0,0,0,0,0,0,0.00012604,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0.000168833,0,0.000178221,2.71E-04,
Nitriliruptor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000481541,0.000155015,0,0,0,0,0,8.91107E-05,0,
Nitrobacter,0,0,0,0,0,0,0,0,0,0,0.002142677,0,0,0,0,0,0,0,0,0,0.001114275,0,0,0,0,0,0,
Nitrolancea,0,0,0,0,0,0,0,0,0,0.000416609,0.00025208,0.000127486,0,0,0,0,0,0,0.000642055,0,0,0,0,0,0,0,0,
Nitrosomonas,0,0,0,0,0,0,0,0,0,0.000277739,0,0.00063743,0.00E+00,0.00E+00,0.00E+00,0,0,0,0.000481541,0,0.001857125,0,0,0.001097417,0,0.000267332,0.000360881,
Nitrosospira,0,0,0,0,0,0,0,0.000711606,0.000190585,0.000833218,0.000630199,0.003187149,0,0.000287687,0.000239636,0,0.000136836,0.000456934,0.000160514,0.000155015,0,0,0,0,0.000159987,0.000356443,9.02201E-05,
Nitrospira,0,0,0,0,0.000322393,0.000131208,0,0,0,0.033606444,0.026216284,0.030341662,0.014253458,1.61E-02,8.75E-03,0.009213147,1.34E-02,0.003883939,0.016853933,0.001240118,0.000866658,0.003735188,0.011781507,3.38E-04,1.60E-04,0.000445553,9.02201E-05,
NK4A214 group,0,0,0,0.00078457,6.44787E-05,0.000787247,0.002719115,0,0.000190585,0.003194001,0.000378119,0.000509944,0,0,0.000718907,0,0.000547345,0.003084304,0.000963082,0.004340412,0.003961867,0.000515198,0,0.000590917,0,0,0.000541321,
Nocardia,0,0,0,0,0.001289574,0,0,0,0,0,0.000378119,0.00063743,0,0.00043153,0,0,0,0,0.00176565,0,0,0.004765585,0.000714031,0.000168833,0,0,0,
Nocardioides,0,0.00025162,0,6.53808E-05,6.44787E-05,0.000787247,0.000362549,0,0.000254113,0.002360783,0.005671792,0.006119327,0.006068304,0.012514384,0.009106159,0.0062251,0.004652436,0.00719671,0.008025682,0.015346458,0.021171227,0.044307058,0.013209568,0.074793179,0.012319014,0.032258065,0.004781667,
Nodosilinea PCC-7104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.91107E-05,0,
Nonomuraea,0,0.00025162,0,0,0,0,0,0.000194074,0,0.001110957,0.000882279,0.000509944,0.00169348,0.002301496,0,0,0.000136836,0.000799634,0.001444623,0.001240118,0.000247617,0.001287996,0,0,0,0,0,
Nordella,0,0.001006479,0.000312617,0,0.00051583,0.000984058,0,0.000323457,0,0.008054437,0.012982102,0.023584906,0.008608524,0.020281933,0.006350347,0.009213147,0.017378216,0.011423349,0.011235955,0.000465044,0,0.000386399,0.00303463,0,0,0,0,
Nostoc PCC-73102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000399968,0.001158439,0.004511007,
Noviherbaspirillum,0,0,0,0,0,0,0,0,0,0,0.000504159,0.001784804,0,0,0,0,0.000136836,0.000913868,0.003210273,0.022477135,0.008171351,0.010432767,0.004462692,0.02262367,0.014238861,0.023079665,0.021652833,
Novosphingobium,0.000186904,0,0.000937852,0,0.000128957,0,0,0,0,0.002083044,0.002646836,0.009306476,0.000564493,0.000575374,0.000359454,0.000996016,0.000684182,0.002398903,0.002568218,0,0.001114275,0.001030397,0,0.001013,0.000399968,0.000445553,0.00027066,
oc32,0,0,0,0,0,0,0,0,0,0.000277739,0,0.00063743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Oceanicella,0,0,0,0,6.44787E-05,0,0,0,0,0.000277739,0.00012604,0.000127486,0,0.000287687,0.001198179,0,0.000136836,0,0,0,0,0,0,0,0,0,0,
Oceanobacillus,0,0,0,0,0,0,0,0,0,0.00013887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Oceanobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025325,0,0,0,
Ochrobactrum,0,0.000314525,0,0,0,0,0,0,0,0.00013887,0,0.000509944,0,0.000719217,0.009345794,0,0.000410509,0,0.000160514,0.000620059,0.00074285,0.001287996,0.017136737,0.001181834,0,0,0,
Odoribacter,0,0,0.000250094,6.53808E-05,0,0,0,0,6.35284E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004150126,
Ohtaekwangia,0,0,0.000562711,0,0.009027017,0.006429181,0,0.000776297,0,0.002360783,0.004915553,0.001657318,0.001411233,0.00906214,0.001317997,0.002614542,0.00561029,0.000799634,0.004815409,0.003255309,0.000123808,0.001030397,0.001428061,0.000168833,0,0,0,
Oikopleura,0,0,0,0,0,0,0,0,0,0,0,0,0.000282247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OLB12,0,0,0,0,0,0,0,0,0,0.000555478,0.001008319,0.000892402,0,0,0,0,0,0,0.000160514,0,0.000123808,0,0,0,0,0,0,
OLB13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000498008,0,0,0,0,0,0,0,0,0,0,0,
OLB17,0,0,0,0,0,0,0,0,0,0.000833218,0.002142677,0.003697093,0,0.000863061,0.000239636,0,0.002873563,0.000571167,0.001284109,0.000155015,0,0,0.001428061,0,0.003519718,0.002940652,0.003067485,
OLB8,0,0,0,0,0,0,0,0,0,0.000277739,0,0,0,0,0,0,0,0,0.000481541,0,0,0,0,0,0,0,0.000451101,
Olivibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000623775,0,
Olsenella,0,0,0,0,6.44787E-05,0,0,0,0,0,0.003907235,0,0,0,0.000479272,0,0,0,0,0,0,0,0,0,0,0,0,
OM27 clade,0,0,0,0,0,0,0,0,0,0.002916262,0.002142677,0.001529832,0.002257973,0.000575374,0.002396358,0.00062251,0.000547345,0.000456934,0.000963082,0.000465044,0,0.000515198,0.001071046,0,0,0.000178221,0,
OM60(NOR5) clade,0,0,0,0,0,0,0,0,0,0.00013887,0,0.00127486,0,0,0,0,0,0.0003427,0,0,0.000247617,0,0,0,0,0,0,
Opitutus,0,0,0,0,0,0.000262416,0,0.000517531,0,0,0,0.000254972,0.00381033,0,0,0.002988048,0.001915709,0.001370802,0,0,0,0.007341577,0.004819707,0.003376667,0,0,0,
Oribacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.02201E-05,
Ornithinimicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000456934,0,0,0,0,0,0.0005065,0,0,0,
Ornithobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025325,0,0,0,
Oscillibacter,0,0,0,0.00156914,0.000193436,0.002427344,0.001087646,0.000258766,0.000190585,0.000416609,0.00012604,0,0.001411233,0.000719217,0.000359454,0.007096614,0.00711549,0.000571167,0,0.000620059,0.000123808,0,0,0,0.000559955,0,0.000631541,
Oscillospira,0,0,0,0,0,0,9.06372E-05,0,0,0,0.00012604,0,0,0,0,0,0,0,0,0.000155015,0.000371425,0,0,0,0,0,0,
Ottowia,0,0,0,0,0,0,0,0,0,0.002360783,0.003907235,0.003697093,0,0,0,0,0,0,0.002247191,0,0.000990467,0,0,0,0,0,0,
Oxalobacter,0,0,0,0,0,0,0.000362549,0.000258766,0,0.001527566,0.000504159,0.000127486,0,0,0,0,0,0,0.000160514,0.001085103,0.001361892,0,0,0,0,0,0,
P3OB-42,0,0,0,0,0,0,0,0,0,0.002499653,0.002268717,0.001402346,0.001834603,0.002589183,0.000119818,0.000871514,0.000410509,0.0003427,0.000963082,0.002015191,0,0,0.000714031,0,0.000239981,0,0,
Paenarthrobacter,0,0,0,0,0,0,0,0,0,0,0.002016637,0.00127486,0.004515947,0.004027618,0.002396358,0.000996016,0.0015052,0.001142335,0.002568218,0,0,0.000515198,0.010531953,0.001013,0,0,0,
Paenibacillus,0,0,0,0,0,0.000590435,0,0,0,0.001110957,0.004537434,0.003824579,0,0.0033084,0.000119818,0,0.000684182,0.000114233,0.002568218,0.000620059,0,0.0001288,0,8.44167E-05,0,0.000178221,0,
Paeniclostridium,0,0,0,0,0,0,0,0,0,0,0,0.000127486,0,0,0,0,0,0,0,0,0,0,0,0.000168833,0,0,0,
Paenisporosarcina,0,0,0,0,0,0,0,0,0,0.000277739,0.000504159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pajaroellobacter,0,0,0,0,0,0,0,0,0,0.004443827,0.001890597,0.003314635,0.00254022,0.001726122,0.002156722,0.001120518,0.002052545,0.000913868,0.001284109,0.001240118,0.000123808,0,0,0,0.000159987,8.91107E-05,0.00027066,
Paludibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000371425,0,0,0,0,0,0,
Paludicola,0,0,0,6.53808E-05,0,0,0,0,0,0,0,0,0.000141123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pantoea,0,0,0,0,0,0,0,0,0,0.00013887,0,0,0,0,0,0,0,0.001485035,0,0,0,0,0,0,0,0,0,
