,ACK1,ACK2,ACK3,AN1,AN2,AN3,AR1,AR2,AR3,SCK2.1,SCK2.2,SCK2.3,SN2.1,SN2.2,SN2.3,SR1,SR2,SR3,YCK1,YCK2,YCK3,YN1,YN2,YN3,YR1,YR2,YR3
ASV_25,0,0,0,473,522,710,0,0,0,0,0,0,0,0,0,711,1004,0,0,0,0,0,0,0,0,0,0
ASV_26,206,433,43,0,0,0,0,0,0,159,191,180,0,0,0,0,0,0,452,1436,257,0,0,0,0,0,0
ASV_27,96,20,0,0,0,0,0,0,0,90,184,13,0,0,0,0,0,0,260,39,2575,0,0,0,0,12,22
ASV_28,0,0,0,0,0,0,0,0,0,837,1347,1096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_29,0,0,0,0,0,27,0,0,0,32,29,73,1220,811,928,10,0,0,0,0,0,0,0,0,0,0,0
ASV_30,1401,79,239,0,0,0,0,0,0,10,14,0,0,0,0,0,0,0,85,1014,120,0,0,0,0,0,0
ASV_31,34,102,77,0,0,0,0,0,0,113,365,23,0,0,0,0,0,0,0,21,2191,0,0,0,0,0,0
ASV_32,49,279,814,0,0,0,0,0,0,142,156,140,0,0,0,0,0,0,74,56,1159,0,0,0,0,0,0
ASV_33,0,15,0,0,34,24,404,334,345,0,0,0,0,0,0,487,151,249,33,0,0,0,0,0,518,90,170
ASV_34,0,72,0,0,40,55,354,272,174,0,0,0,0,0,0,372,579,399,65,19,0,0,0,0,127,105,163
ASV_35,557,702,71,0,0,0,0,0,0,0,0,0,0,0,0,0,53,158,232,901,103,0,0,0,0,0,14
ASV_36,0,0,4,0,0,0,47,19,70,1882,306,370,0,10,0,0,0,0,0,32,0,0,0,0,7,30,0
ASV_37,0,128,0,0,14,15,215,193,157,0,0,0,0,0,0,232,241,97,264,39,0,0,0,0,377,333,414
ASV_38,0,68,0,0,30,0,26,87,231,1109,255,423,17,159,78,0,0,0,25,25,0,0,0,0,0,19,0
ASV_39,1045,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394,41,0,0,0,0,0,0
ASV_40,0,18,50,122,183,18,3,53,40,1140,104,120,0,6,0,13,24,0,58,151,208,0,0,0,39,45,51
ASV_41,1278,81,37,0,19,9,0,0,0,0,0,0,0,0,0,0,0,0,0,959,19,0,0,0,0,0,0
ASV_42,33,209,17,0,0,0,153,163,133,0,0,0,0,0,0,125,126,175,590,0,0,0,0,0,196,209,168
ASV_43,318,183,1055,0,0,0,0,0,0,0,39,0,0,0,0,0,0,26,24,313,255,0,0,0,0,18,0
ASV_44,1716,104,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0
ASV_45,0,0,80,54,31,65,0,0,0,130,113,303,11,545,719,28,13,0,0,0,0,0,0,0,0,0,0
ASV_46,210,363,67,0,0,0,0,95,0,0,0,0,0,0,0,0,38,0,648,533,35,0,0,0,16,0,45
ASV_47,0,333,62,0,19,0,99,152,146,0,52,0,0,0,0,128,76,61,133,192,0,0,92,14,122,198,171
ASV_48,0,0,0,0,0,34,208,479,298,0,0,0,0,0,0,171,122,284,14,135,11,0,0,0,108,91,48
ASV_49,352,116,27,0,0,0,7,0,10,12,66,0,0,0,0,0,0,17,122,62,1149,0,0,0,26,11,16
